Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Industry Groups,CB Rank (Company)
MazeBolt,https://www.crunchbase.com/organization/mazebolt-technologies,"Cyber Security, Network Security, Security","Ramat Gan, Tel Aviv, Israel",MazeBolt ensures business continuity for global enterprises by validating their DDoS defenses – without the need for maintenance windows.,"Information Technology, Privacy and Security","7,867"
Lunar Outpost,https://www.crunchbase.com/organization/lunar-outpost,"Aerospace, Information Technology, Robotics","Golden, Colorado, United States",Lunar Outpost provides advanced spacecraft and robotics solutions for space missions.,"Hardware, Information Technology, Science and Engineering, Software","7,897"
ZOYAN (Mazzaneh),https://www.crunchbase.com/organization/foot2feet,"Digital Marketing, E-Commerce, Software","Shiraz, Fars, Iran","Since its inception in 2022, it has been in active development, culminating in the successful launch of our MVP in 2024 Ready for investment","Commerce and Shopping, Sales and Marketing, Software","8,008"
Algorized,https://www.crunchbase.com/organization/algorized,"Artificial Intelligence (AI), Embedded Software, Sensor, Software","Campbell, California, United States",Algorized offers an AI-centric platform developing advanced people-sensing to provide human detection between people and machines.,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software","8,577"
Metawave,https://www.crunchbase.com/organization/metawave-corporation,"Artificial Intelligence (AI), Automotive, Communications Infrastructure, Machine Learning, Telecommunications, Wireless","Carlsbad, California, United States",Metawave is a wireless technology company that builds intelligent and high-performance automotive radars by leveraging metamaterials and AI.,"Artificial Intelligence (AI), Data and Analytics, Hardware, Mobile, Science and Engineering, Software, Transportation","8,870"
DermaSensor,https://www.crunchbase.com/organization/dermasensor-inc,"Biotechnology, Health Care, Medical, Medical Device, Primary and Urgent Care","Miami, Florida, United States",DermaSensor Inc. is a health technology company designing tools to better equip primary care providers for skin cancer checks,"Biotechnology, Health Care, Science and Engineering","9,091"
D-Orbit,https://www.crunchbase.com/organization/d-orbit,"Aerospace, Automotive, Fleet Management, Information Technology, Software, Transportation","Milan, Lombardia, Italy","D-Orbit is the first in-space transportation company, providing solutions for moving, precise deployment and removing satellites.","Information Technology, Science and Engineering, Software, Transportation","9,108"
Antaris,https://www.crunchbase.com/organization/antaris,"Information Technology, SaaS, Space Travel","Los Altos, California, United States","Antaris is a digital space platform that simplifies the design, simulation, and operation of satellites.","Information Technology, Software, Transportation","9,391"
Turion Space,https://www.crunchbase.com/organization/turion-space,"Aerospace, Information Technology, Manufacturing, Space Travel","Irvine, California, United States","Turion Space designs, builds, and operates DROID satellites to address pressing national security needs.","Information Technology, Manufacturing, Science and Engineering, Transportation","9,448"
Radar,https://www.crunchbase.com/organization/radar-3,"Analytics, Developer Tools, Information Technology, Internet, IT Infrastructure, Location Based Services, Mobile Apps, Software","Brooklyn, New York, United States",Radar is a location data infrastructure platform that helps growth and product teams to build location-aware app experiences.,"Apps, Data and Analytics, Information Technology, Internet Services, Mobile, Navigation and Mapping, Software","9,506"
Accion Systems,https://www.crunchbase.com/organization/accion-systems,"Aerospace, Hardware, Manufacturing, Product Design","Boston, Massachusetts, United States",Accion Systems provides in-space propulsion systems for satellites based on proprietary technology developed at MIT.,"Design, Hardware, Manufacturing, Science and Engineering","10,524"
Scout Space,https://www.crunchbase.com/organization/scoutspace,"Aerospace, Cloud Computing, Geospatial, Satellite Communication, Software, Space Travel","Reston, Virginia, United States","Scout is developing orbital products and services to enable a new era of space safety, transparency, and improved Space Domain Awareness.","Data and Analytics, Hardware, Internet Services, Navigation and Mapping, Science and Engineering, Software, Transportation","11,134"
AeroVect,https://www.crunchbase.com/organization/aerovect,"Aerospace, Air Transportation, Artificial Intelligence (AI), Autonomous Vehicles, Logistics, Manufacturing, Robotics, Software, Transportation","San Francisco, California, United States",AeroVect develops airport automation systems that use embodied AI to manage baggage and cargo logistics on the airfield.,"Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software, Transportation","11,455"
Bruker,https://www.crunchbase.com/organization/bruker,"Chemical, Life Science, Manufacturing, Medical","Billerica, Massachusetts, United States","Bruker is a manufacturer of analytical and medical instruments covering NMR, ESR, FT-IR, X-RAY spectroscopy.","Biotechnology, Health Care, Manufacturing, Science and Engineering","12,042"
Refraction AI,https://www.crunchbase.com/organization/refraction-ai,"Artificial Intelligence (AI), Automotive, Information Technology, Logistics, Robotics, Supply Chain Management","Austin, Texas, United States",Refraction AI is a leading robotics delivery software and services startup.,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Science and Engineering, Software, Transportation","12,046"
Marama Labs,https://www.crunchbase.com/organization/marama-labs,"Agriculture, AgTech, Analytics, Electronics","Kelburn, Wellington, New Zealand",Marama Labs is a developer of a novel UV-Vis spectroscopy technology for scientific-analytical instrumentation.,"Agriculture and Farming, Consumer Electronics, Data and Analytics, Hardware","12,428"
ASTERRA,https://www.crunchbase.com/organization/utilis-israel-inc,"Analytics, Artificial Intelligence (AI), Geospatial, Image Recognition, Infrastructure, Machine Learning, Sustainability, Water","Rosh Ha'ayin, HaMerkaz, Israel","Satellite-based Infrastructure Intelligence Providing data driven solutions for utilities, engineers, and municipalities","Artificial Intelligence (AI), Data and Analytics, Natural Resources, Navigation and Mapping, Other, Science and Engineering, Software, Sustainability","12,507"
Sortile,https://www.crunchbase.com/organization/sortile,"Fashion, Recycling, Textiles","New York, New York, United States","Sortile is a textile waste management system that enables the identification, traceability and recycling of textiles.","Clothing and Apparel, Design, Manufacturing, Sustainability","13,037"
Xandar Kardian,https://www.crunchbase.com/organization/xandarkardian,"Health Care, Home Health Care, Information and Communications Technology (ICT), Information Services, Information Technology, mHealth, Smart Building","Toronto, Ontario, Canada",Xandar Kardian is a global leader and pioneer in radar signal processing solutions for smart building and remote healthcare applications.,"Health Care, Information Technology, Mobile, Real Estate","14,091"
bitsensing,https://www.crunchbase.com/organization/bitsensing,"Automotive, Autonomous Vehicles, Health Care, Internet of Things, Robotics, Sensor, Smart Cities, Software, Wellness","Seoul, Seoul-t'ukpyolsi, South Korea",bitsensing is a radar technology startup focused on developing smart city solutions to improve citizens' quality of life.,"Hardware, Health Care, Internet Services, Real Estate, Science and Engineering, Software, Transportation","14,269"
SpaceFields,https://www.crunchbase.com/organization/spacefields,"Aerospace, Manufacturing, Space Travel","Bengaluru, Karnataka, India",SpaceFields develops propulsion technologies and solid-fuel systems for aerospace and defence applications.,"Manufacturing, Science and Engineering, Transportation","14,766"
Sauron,https://www.crunchbase.com/organization/sauron,"Artificial Intelligence (AI), Physical Security, Security, Sensor","San Francisco, California, United States","​Sauron develops a home security platform that integrates AI, advanced sensors, and human monitoring to identify and respond to threats.","Administrative Services, Artificial Intelligence (AI), Data and Analytics, Hardware, Privacy and Security, Science and Engineering, Software","14,877"
Agile Space Industries,https://www.crunchbase.com/organization/agile-space-propulsion,"3D Printing, Aerospace, Air Transportation, Space Travel","Durango, Colorado, United States","Agile Space Industries is an aviation and aerospace that specializes in propulsion, test rockets, and space exploration.","Manufacturing, Science and Engineering, Transportation","14,930"
Kuiper Government Solutions,https://www.crunchbase.com/organization/kuiper-government-solutions,"Information Technology, Internet, Satellite Communication","Redmond, Washington, United States",Kuiper Government Solutions deploys a large broadband satellite internet constellation to provide broadband internet connectivity.,"Hardware, Information Technology, Internet Services","15,266"
MOTOR Ai,https://www.crunchbase.com/organization/motor-ai,"Artificial Intelligence (AI), Automotive, Autonomous Vehicles","Berlin, Berlin, Germany",Motor Ai is a developer of AI systems based on cognitive neuroscience for autonomous driving.,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Transportation","15,535"
Hensoldt,https://www.crunchbase.com/organization/hensoldt,"Electronics, Security, Sensor","Taufkirchen, Bayern, Germany",Hensoldt is a globally leading supplier of premium sensors for security and surveillance missions.,"Consumer Electronics, Hardware, Privacy and Security","15,609"
Magdrive,https://www.crunchbase.com/organization/magdrive,"B2B, Manufacturing, Space Travel","Harwell, Oxfordshire, United Kingdom",Magdrive is working on advanced spacecraft propulsion for satellites in Low Earth Orbit (LEO).,"Manufacturing, Other, Transportation","16,048"
United Launch Alliance,https://www.crunchbase.com/organization/united-launch-alliance,"Aerospace, Space Travel, Transportation","Centennial, Colorado, United States",United Launch Alliance manufactures and operates spacecraft that are capable of Earth orbit and deep space exploration.,"Science and Engineering, Transportation","16,448"
AnySignal,https://www.crunchbase.com/organization/anysignal,"Communication Hardware, Internet Radio, Sensor","Gardena, California, United States",AnySignal is an integrated sensing and communications products company.,"Hardware, Media and Entertainment, Music and Audio","16,592"
LetsData,https://www.crunchbase.com/organization/letsdata,"Artificial Intelligence (AI), Information Technology, Machine Learning, Software","Dover, Delaware, United States","LetsData is an AI platform that specializes in monitoring, analyzing, and forecasting information in the media space.","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","17,447"
Virgin Galactic,https://www.crunchbase.com/organization/virgin-galactic,"Aerospace, Commercial, Space Travel","Mojave, California, United States",Virgin Galactic is a commercial spaceline that develops commercial spacecrafts.,"Other, Science and Engineering, Transportation","17,547"
Climavision,https://www.crunchbase.com/organization/climavision,"Artificial Intelligence (AI), Big Data, Cloud Data Services, Satellite Communication","Louisville, Kentucky, United States","Climavision brings high-resolution weather radar and satellite network, with advanced weather prediction modeling.","Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Internet Services, Science and Engineering, Software","18,080"
Orbion Space Technology,https://www.crunchbase.com/organization/orbion-space-technology,"Manufacturing, Satellite Communication, Space Travel","Houghton, Michigan, United States",Orbion Space Technology develops and manufactures plasma propulsion systems for small satellites.,"Hardware, Manufacturing, Transportation","18,135"
XPRIZE,https://www.crunchbase.com/organization/x-prize-foundation,"Education, Innovation Management, Non Profit","Culver City, California, United States",XPRIZE designs and manages public competitions intended to encourage technological development that could benefit mankind.,"Education, Other, Professional Services, Social Impact","18,394"
Array Labs,https://www.crunchbase.com/organization/array-labs,Manufacturing,"Palo Alto, California, United States",Array Labs is a technology company that creates high-quality 3D imagery that is used to better understand the world.,Manufacturing,"18,399"
Mixed-Signal Devices,https://www.crunchbase.com/organization/mixed-signal-devices,"Infrastructure, Semiconductor, Wireless","Irvine, California, United States",Mixed-Signal Devices is a privately held company that develops radar sensors intended to blend analog and digital signals.,"Hardware, Mobile, Other, Science and Engineering","18,407"
ExoTerra,https://www.crunchbase.com/organization/exoterra,Aerospace,"Littleton, Colorado, United States",ExoTerra's mission is to enable more exploration of space by making it affordable to a larger market.,Science and Engineering,"18,857"
Neutron Star Systems,https://www.crunchbase.com/organization/neutron-star-systems,"Artificial Intelligence (AI), Cloud Computing, Electrical Distribution, Information Technology, Machine Learning, Marine Transportation, Semiconductor, Space Travel","Cologne, Nordrhein-Westfalen, Germany","Neutron Star Systems develops superconducting propulsion tech, enabling scalable, efficient, sustainable mobility for spacecraft.","Artificial Intelligence (AI), Data and Analytics, Energy, Hardware, Information Technology, Internet Services, Science and Engineering, Software, Transportation","19,941"
Dxcover,https://www.crunchbase.com/organization/dxcover,"Biotechnology, Health Care, Health Diagnostics, Machine Learning, Medical","Glasgow, Glasgow City, United Kingdom",Dxcover is a cancer diagnostics startup that uses liquid biopsy and artificial intelligence for early diagnosis of cancers.,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software","19,975"
BrightSpec,https://www.crunchbase.com/organization/brightspec,"Analytics, Chemical Engineering, Test and Measurement","Charlottesville, Virginia, United States","Brightspec provides analytical chemistry solutions using FT-MRR spectroscopy, a new commercial technique for direct.","Data and Analytics, Science and Engineering","20,058"
Thor Dynamics,https://www.crunchbase.com/organization/thor-dynamics,"Aerospace, Artificial Intelligence (AI), Drone Management, Drones, Laser, Military, Robotics","Orlando, Florida, United States",Thor Dynamics specializes in directed energy systems for drone and swarm defense to protect critical infrastructure and national security,"Artificial Intelligence (AI), Consumer Electronics, Consumer Goods, Data and Analytics, Government and Military, Hardware, Information Technology, Science and Engineering, Software","20,491"
Sanlayan,https://www.crunchbase.com/organization/sanlayan,"Aerospace, Electronics, Software","Bengaluru, Karnataka, India",Sanlayan fosters advanced electronics and indigenous product development.,"Consumer Electronics, Hardware, Science and Engineering, Software","20,503"
Scanary,https://www.crunchbase.com/organization/scanary,"Artificial Intelligence (AI), Information Technology, Security","Tel Aviv-yafo, Tel Aviv, Israel",Scanary is a software company that has developed screening systems using radar technology to airports and stadiums.,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software","20,972"
Gravitics,https://www.crunchbase.com/organization/gravitics,"Aerospace, Manufacturing, Space Travel","Seattle, Washington, United States",Gravitics designs and manufactures essential space infrastructure,"Manufacturing, Science and Engineering, Transportation","21,469"
Falcomm,https://www.crunchbase.com/organization/falcomm,"Internet of Things, Manufacturing, Mobile, Semiconductor, Wireless","Atlanta, Georgia, United States",Falcomm is a fabless semiconductor chip startup developing ultra-efficient front-end modules and power amplifiers for the 5G mmWave market.,"Hardware, Internet Services, Manufacturing, Mobile, Science and Engineering","22,083"
General Galactic,https://www.crunchbase.com/organization/general-galactic,"Aerospace, Space Travel","El Segundo, California, United States",General Galactic is a space tech startup developing advanced spacecraft and propulsion systems,"Science and Engineering, Transportation","22,222"
Anveshan,https://www.crunchbase.com/organization/anveshan,"Food and Beverage, Health Care, Organic Food","Bengaluru, Karnataka, India","Anveshan provides high-quality, natural, affordable, and minimally processed food products.","Food and Beverage, Health Care","22,614"
Quantum Space,https://www.crunchbase.com/organization/quantum-space,Aerospace,"Rockville, Maryland, United States","Quantum Space provides data buy services, deploys spacecraft, and performs space logistics for partners.",Science and Engineering,"22,805"
Starpath Robotics,https://www.crunchbase.com/organization/starpath-robotics,"Air Transportation, Space Travel, Transportation","Los Angeles, California, United States",Starpath Robotics builds spacecraft propellant that reduces the deep space transport cost.,Transportation,"23,528"
Dawn Aerospace,https://www.crunchbase.com/organization/dawn-aerospace,"Aerospace, Software, Space Travel, Sustainability, Transportation","Christchurch, Canterbury, New Zealand",Dawn Aerospace focuses on sustainable spacecraft and software development by offering satellite propulsion systems and same-day spaceplanes.,"Science and Engineering, Software, Sustainability, Transportation","24,781"
Qumea,https://www.crunchbase.com/organization/qumea,"Artificial Intelligence (AI), Health Care, Information Technology, Software","Solothurn, Solothurn, Switzerland",Qumea is a medical equipment manufacturing company that designs curated digital solutions for patient mobility monitoring.,"Artificial Intelligence (AI), Data and Analytics, Health Care, Information Technology, Science and Engineering, Software","24,976"
Autoliv,https://www.crunchbase.com/organization/autoliv,"Automotive, Industrial Manufacturing, Manufacturing, Sales","Stockholm, Stockholms Lan, Sweden","Autoliv develops, manufactures, and markets automotive safety systems.","Manufacturing, Sales and Marketing, Transportation","25,210"
RadarFirst,https://www.crunchbase.com/organization/radar-llc,"Compliance, Privacy, Productivity Tools, Risk Management, SaaS, Security, Software","Portland, Oregon, United States",SaaS-based incident response management platform that simplifies compliance with data breach laws.,"Privacy and Security, Professional Services, Software","25,218"
Zendar,https://www.crunchbase.com/organization/zendar,"Automotive, Navigation","Berkeley, California, United States",Zendar develops high-definition radar for autonomous vehicles.,"Navigation and Mapping, Transportation","25,884"
Neteera,https://www.crunchbase.com/organization/neteera-technologies-ltd,"Artificial Intelligence (AI), Baby, Elder Care, Health Care, Internet of Things, Medical Device, Semiconductor, Sensor","Jerusalem, Yerushalayim, Israel","Neteera developed an AI-powered sensing platform to reduce treatment failures & improve outcomes in health screening, diagnosis & treatment.","Artificial Intelligence (AI), Community and Lifestyle, Data and Analytics, Hardware, Health Care, Internet Services, Science and Engineering, Software","25,895"
Humatics,https://www.crunchbase.com/organization/humatics,"Collaboration, Railroad, Robotics, Software","Waltham, Massachusetts, United States","Humatics is developing microlocation products that will revolutionize how people and machines locate, navigate, and collaborate.","Hardware, Other, Science and Engineering, Software, Transportation","26,152"
EtherealX,https://www.crunchbase.com/organization/etherealx,"Aerospace, Manufacturing, Space Travel","Bangalore, Karnataka, India","EtherealX designs, develops, and manufactures next-generation launch vehicles and spacecraft.","Manufacturing, Science and Engineering, Transportation","27,377"
Zadar Labs,https://www.crunchbase.com/organization/zadar,"Artificial Intelligence (AI), Autonomous Vehicles, Machine Learning, Robotics, Sensor","Santa Clara, California, United States",Zadar Labs brings radar intelligence to autonomous systems,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software, Transportation","27,680"
ExLabs,https://www.crunchbase.com/organization/exlabs-f803,"Aerospace, Manufacturing, Natural Resources, Robotics, Space Travel","Long Beach, California, United States","Next-generation spacecraft manufacturer, building the foundation for sustainable space exploration and access to off-planet resources.","Hardware, Manufacturing, Natural Resources, Science and Engineering, Software, Sustainability, Transportation","27,881"
Lunewave,https://www.crunchbase.com/organization/lunewave,"Autonomous Vehicles, Electrical Distribution, Electronics, Sensor","Tucson, Arizona, United States",Lunewave provides Luneburg lens-based antenna and automotive radar sensor system.,"Consumer Electronics, Energy, Hardware, Transportation","28,247"
SATIM,https://www.crunchbase.com/organization/satim,"3D Technology, Artificial Intelligence (AI), SaaS, Satellite Communication, Simulation","Kraków, Malopolskie, Poland",SATIM is the developer of satellite-based radar imagery technologies that helps to detect and measure geohazards.,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software","28,418"
Tianbing Technology,https://www.crunchbase.com/organization/tianbing-technology,"Aerospace, Industrial, Travel","Beijing, Beijing, China",Tianbing Technology is an aerospace propulsion system supplier and spacecraft provider.,"Manufacturing, Science and Engineering, Travel and Tourism","28,952"
Spartan Radar,https://www.crunchbase.com/organization/spartan-radar,"Automotive, Industrial Automation, Machine Learning, Software","Los Alamitos, California, United States",Spartan Software is about seeing more by removing unneeded artifacts from a sensor scan while extracting the most important data,"Artificial Intelligence (AI), Data and Analytics, Manufacturing, Science and Engineering, Software, Transportation","29,352"
Building Radar,https://www.crunchbase.com/organization/global-data-machine,"Artificial Intelligence (AI), Big Data, Construction, Lead Generation","Munich, Bayern, Germany",Building Radar provides AI-driven updates by scanning the internet for construction projects.,"Artificial Intelligence (AI), Data and Analytics, Real Estate, Sales and Marketing, Science and Engineering, Software","29,765"
LeddarTech,https://www.crunchbase.com/organization/leddartech,"Automotive, Autonomous Vehicles, Software, Software Engineering","Quebec, Quebec, Canada",LeddarTech is an automotive solutions company that solves critical fusion and perception challenges for all levels of autonomy.,"Science and Engineering, Software, Transportation","30,018"
Skykraft,https://www.crunchbase.com/organization/skykraft,"Service Industry, Space Travel","Australian Capital Territory, Australian Capital Territory, Australia","Skykraft is an Australian space services firm that specializes in smallsat constellation design, production, and operation.","Other, Transportation","30,213"
Spaceium,https://www.crunchbase.com/organization/spaceium,"Aerospace, Information Technology, Space Travel","Ottawa, Ontario, Canada",Spaceium develops a spacecraft docking system to support interplanetary missions.,"Information Technology, Science and Engineering, Transportation","31,695"
New Frontier Aerospace,https://www.crunchbase.com/organization/new-frontier-aerospace,Aerospace,"Kent, Washington, United States","NFA builds propulsion systems to power multiple products, including hypersonic aircraft for civil, commercial, and defense customers.",Science and Engineering,"32,168"
PathoCare,https://www.crunchbase.com/organization/patho-care,"Health Care, Health Diagnostics, Machine Learning","Houston, Texas, United States","Developer of rapid, non-invasive, and cost-effective diagnostic tests for respiratory infections.","Artificial Intelligence (AI), Data and Analytics, Health Care, Software","32,866"
