Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Industry Groups,CB Rank (Company)
Genius Sports,https://www.crunchbase.com/organization/genius-sports,"Analytics, Fitness, Sports, Wellness","London, England, United Kingdom","Genius Sports is the official data, technology and commercial partner that powers the global ecosystem connecting sports, betting and media.","Data and Analytics, Health Care, Sports",696
TRIP,https://www.crunchbase.com/organization/trip-80a0,"Cannabis, E-Commerce, Food and Beverage","London, England, United Kingdom",TRIP is a CBD brand that sells wellness products infused with adaptogens.,"Commerce and Shopping, Community and Lifestyle, Food and Beverage, Health Care",739
MD Integrations,https://www.crunchbase.com/organization/md-integrations,"Health Care, Medical, Telehealth, Wellness","New York, New York, United States",MD Integrations is a telemedicine company that provides virtual healthcare services.,Health Care,742
Fable,https://www.crunchbase.com/organization/fable,"Books, E-Commerce, Health Care, mHealth, Personal Health, Wellness","Palo Alto, California, United States",Fable provides a platform for online book clubs.,"Commerce and Shopping, Content and Publishing, Health Care, Media and Entertainment, Mobile",757
Elektra Health,https://www.crunchbase.com/organization/elektra-health,"Health Care, Wellness, Women's","New York, New York, United States","Elektra Health is a digital health platform delivering evidence-based, virtual menopause care, education and community.","Community and Lifestyle, Health Care",777
Midi Health,https://www.crunchbase.com/organization/midi-d939,"Health Care, Medical, Therapeutics, Women's","Los Angeles, California, United States","Midi Health provides virtual care for women in midlife, offering clinician support for menopause, hormonal health, and related conditions.","Community and Lifestyle, Health Care",798
Welltory,https://www.crunchbase.com/organization/welltory,"Apps, Artificial Intelligence (AI), Big Data, Biometrics, Health Care, Health Diagnostics, Machine Learning, Mobile Apps, Personal Health, Wellness","Redwood City, California, United States",Welltory is a digital health company behind AI-powered wellness apps keeping 10M+ people on track for lifelong health,"Apps, Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Mobile, Science and Engineering, Software",821
Headway,https://www.crunchbase.com/organization/headway-6412,"Health Care, Information Technology, Insurance, Mental Health, Therapeutics","New York, New York, United States",Headway builds a mental healthcare system that enables therapists to accept insurance and scale their practices.,"Financial Services, Health Care, Information Technology",829
Brightline,https://www.crunchbase.com/organization/emilio-health,"Child Care, Family, Health Care, Home Health Care, Mental Health","Palo Alto, California, United States",Brightline is a med-tech company that provides behavioral healthcare services for children and their families.,"Community and Lifestyle, Health Care",876
TomoCredit,https://www.crunchbase.com/organization/tomocredit,"Artificial Intelligence (AI), Credit, Credit Cards, Financial Services, FinTech, Personal Finance","San Francisco, California, United States","AI financial wellness platform- smarter, inclusive financial opportunities for everyone- win win for both consumers and lenders","Artificial Intelligence (AI), Data and Analytics, Financial Services, Lending and Investments, Payments, Science and Engineering, Software",909
Sonder,https://www.crunchbase.com/organization/sonder-8730,"Health Care, Mental Health, Software, Wellness","Sydney, New South Wales, Australia",Sonder is an employee care platform that helps organizations in enhancing the well-being of their workforce.,"Health Care, Software",958
Liquid Death,https://www.crunchbase.com/organization/liquid-death-mountain-water,"Food and Beverage, Product Design, Wellness","Santa Monica, California, United States",Liquid Death is a non-alcoholic beverage brand that is focused on health and sustainability.,"Design, Food and Beverage, Health Care","1,058"
OneSkin,https://www.crunchbase.com/organization/oneskin,"Beauty, Biotechnology, Cosmetics, Health Care, Wellness","San Francisco, California, United States",OneSkin is a longevity company developing products designed to extend skin and body health by targeting aging at its source.,"Biotechnology, Consumer Goods, Health Care, Science and Engineering","1,073"
Vagaro,https://www.crunchbase.com/organization/vagaro,"Beauty, Fashion, Fitness, Health Care, Lifestyle, Online Portals, SaaS, Software, Wellness","Dublin, California, United States",Vagaro is an online platform that allows its users to find salons and spas in their local area and make appointments online.,"Clothing and Apparel, Community and Lifestyle, Consumer Goods, Design, Health Care, Internet Services, Software, Sports","1,075"
Read AI,https://www.crunchbase.com/organization/read-ai,"Analytics, Artificial Intelligence (AI), Enterprise Software, Machine Learning, Meeting Software, Software","Seattle, Washington, United States","Read AI is a productivity AI company that enhances workflows with meeting analytics, scheduling, and summaries across messages and email.","Artificial Intelligence (AI), Data and Analytics, Messaging and Telecommunications, Science and Engineering, Software","1,223"
Pyx Health,https://www.crunchbase.com/organization/pyx-health,"Health Care, Mobile, Software","Tucson, Arizona, United States","Pyx Health offers a reduction in loneliness and social isolation, especially in vulnerable and at-risk populations.","Health Care, Mobile, Software","1,240"
FamilyWell Health,https://www.crunchbase.com/organization/familywell-health,"Consulting, Health Care, Health Diagnostics, Mental Health","Boston, Massachusetts, United States",Integrated mental health services for pregnant & postpartum patients.,"Health Care, Professional Services","1,243"
Eleos Health,https://www.crunchbase.com/organization/eleos-health,"Artificial Intelligence (AI), Health Care, Information Technology, Mental Health","Boston, Massachusetts, United States",Eleos Health is a mental health startup that focuses on using voice analysis and NLP to improve treatment outcomes and workflow efficiency.,"Artificial Intelligence (AI), Data and Analytics, Health Care, Information Technology, Science and Engineering, Software","1,313"
Recess,https://www.crunchbase.com/organization/recess-3b65,"Cannabis, Food and Beverage, Food Processing","New York, New York, United States","Recess is a consumer wellness brand creating products and experiences designed to help people feel balanced, centered, and inspired.","Community and Lifestyle, Food and Beverage, Health Care","1,352"
Oddity,https://www.crunchbase.com/organization/oddity-7f15,"Consumer, Consumer Applications, Consumer Goods","New York, New York, United States",Oddity is a consumer-tech company that builds and scales digital-first brands.,"Apps, Consumer Goods, Other, Software","1,369"
BrainCo,https://www.crunchbase.com/organization/brainco,"Biotechnology, Education, Electronics, Hardware, Neuroscience","Somerville, Massachusetts, United States",BrainCo develops brain-computer interface technologies for wellness and education applications.,"Biotechnology, Consumer Electronics, Education, Hardware, Science and Engineering","1,416"
Profusa,https://www.crunchbase.com/organization/profusa,"Biotechnology, Finance, Financial Services, Health Care, Medical, Medical Device, Personal Health, Wellness","San Francisco, California, United States",PROFUSA is a medical devices company creating tissue-integrated sensors for chronic disease management and healthy living.,"Biotechnology, Financial Services, Health Care, Science and Engineering","1,419"
Grow Therapy,https://www.crunchbase.com/organization/grow-therapy,"Health Care, Medical, Mental Health, Therapeutics","New York, New York, United States","Grow Therapy is an online therapy platform reimagining access to high-quality, insurance-covered mental healthcare.",Health Care,"1,431"
Opus Genetics,https://www.crunchbase.com/organization/opus-genetics,"Biopharma, Genetics, Health Care, Health Diagnostics, Therapeutics, Wellness","Raleigh, North Carolina, United States",Opus Genetics develops therapies for inherited retinal diseases and other ophthalmic or refractive disorders.,"Biotechnology, Health Care, Science and Engineering","1,485"
b.well Connected Health,https://www.crunchbase.com/organization/b-well,"Biotechnology, Electronic Health Record (EHR), Health Care, Health Insurance, Pharmaceutical","Baltimore, Maryland, United States",B.well Connected Health is a digital health platform that provides individuals with a comprehensive view of their health data.,"Biotechnology, Financial Services, Health Care, Science and Engineering","1,545"
Jinx,https://www.crunchbase.com/organization/jinx-d846,"Consumer Goods, E-Commerce, Nutrition, Pet, Wellness","Los Angeles, California, United States",Jinx is a dog wellness brand that primarily sells dog foods online.,"Commerce and Shopping, Community and Lifestyle, Consumer Goods, Food and Beverage, Health Care","1,554"
EarnIn,https://www.crunchbase.com/organization/earnin,"Employee Benefits, Financial Services, FinTech, Mobile Payments","Palo Alto, California, United States",EarnIn is an earnings management company that provides access to earned wages and financial wellness tools.,"Administrative Services, Financial Services, Health Care, Mobile, Payments, Software","1,577"
MuniFin,https://www.crunchbase.com/organization/munifin,"Credit, Finance, Financial Services, Lending, Risk Management, Service Industry","Helsinki, Southern Finland, Finland","MuniFin is a credit institution specializing in financing municipalities, wellbeing services counties, and social housing projects.","Financial Services, Lending and Investments, Other, Professional Services","1,611"
ActivTrak,https://www.crunchbase.com/organization/activtrak,"Business Intelligence, Information Services, Information Technology, SaaS, Software","Austin, Texas, United States","ActivTrak's workforce analytics give users visibility and insights to understand how people work, whether in the office, remote or hybrid.","Data and Analytics, Information Technology, Software","1,643"
Alto Neuroscience,https://www.crunchbase.com/organization/alto-neuroscience,"Artificial Intelligence (AI), Biopharma, Biotechnology, Neuroscience, Precision Medicine","Los Altos, California, United States",Alto Neuroscience is a clinical-stage biopharmaceutical company that creates precision medicines through its AI-driven biomarker platform.,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software","1,712"
Jane Software,https://www.crunchbase.com/organization/jane-software-inc,"Health Care, SaaS","North Vancouver, British Columbia, Canada","Jane is an online platform for health and wellness practitioners that makes it simple to book, chart, schedule, bill and get paid.","Health Care, Software","1,721"
Wellhub,https://www.crunchbase.com/organization/gympass,"Employee Benefits, Fitness, Human Resources, Wellness","New York, New York, United States","Wellhub provides employees with flexible access to gyms, studios, classes, training, and wellness apps.","Administrative Services, Health Care, Sports","1,741"
Manual,https://www.crunchbase.com/organization/manual-b7ab,"Health Care, Men's, Wellness","London, England, United Kingdom",Manual provides diagnostic tools and testing to help patients make health-related decisions.,"Community and Lifestyle, Health Care","1,755"
Meta,https://www.crunchbase.com/organization/meta,"Artificial Intelligence (AI), Augmented Reality, Computer, Hardware, Human Resources, Information Technology, Machine Learning, Metaverse, Software, Virtual Workforce","Menlo Park, California, United States","Meta is a social technology company that enables people to connect, find communities, and grow businesses.","Administrative Services, Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Information Technology, Media and Entertainment, Science and Engineering, Software",296
Indian Institute of Technology Madras,https://www.crunchbase.com/organization/indian-institute-of-technology-madras,"Education, Higher Education, Information Technology","Chennai, Tamil Nadu, India",Indian Institute of Technology Madras is a public technical and research university that offers academic and research programs.,"Education, Information Technology",684
University of Bristol,https://www.crunchbase.com/organization/university-of-bristol,Education,"Bristol, Bristol, City of, United Kingdom","University of Bristol is educational institute to offers different courses to students, research projects,and jobs.",Education,686
Carnegie Mellon University,https://www.crunchbase.com/organization/carnegie-mellon-university,"Education, Higher Education, Universities","Pittsburgh, Pennsylvania, United States","Carnegie Mellon University is a private research university that offers degrees in technology, arts, and various other fields.","Education, Other",961
Northeastern University,https://www.crunchbase.com/organization/northeastern-university,"Education, Higher Education, Universities","Boston, Massachusetts, United States",Northeastern University is a research university that offers a comprehensive range of undergraduate and graduate programs.,"Education, Other","1,035"
Coursera,https://www.crunchbase.com/organization/coursera,"E-Learning, EdTech, Education, Internet","Mountain View, California, United States",Coursera is an online education company that partners with universities and organizations to offer classes on their platform.,"Education, Internet Services, Software","1,049"
Cisco,https://www.crunchbase.com/organization/cisco,"Communications Infrastructure, Enterprise Software, Hardware, Software","San Jose, California, United States","Cisco develops, manufactures, and sells networking hardware, telecommunications equipment, and other technology services and products.","Hardware, Software","1,158"
Galvanize,https://www.crunchbase.com/organization/galvanizeu,"Communities, Coworking, Education, Venture Capital","Boulder, Colorado, United States","Galvanize is a workforce training organization that delivers programs focused on software engineering, data science, and AI.","Community and Lifestyle, Education, Financial Services, Lending and Investments, Real Estate","1,443"
Dartmouth College,https://www.crunchbase.com/organization/dartmouth-college-2,"Education, Higher Education, Universities","Hanover, New Hampshire, United States",Dartmouth College is a member of the Ivy League and consistently ranks among the world's academic institutions.,"Education, Other",
Brown University,https://www.crunchbase.com/organization/brown-university-2,"Education, Higher Education, Universities","Providence, Rhode Island, United States",Brown University is an Ivy League research university that provides undergraduate and graduate programs.,"Education, Other","1,842"
University of Waterloo,https://www.crunchbase.com/organization/university-of-waterloo,"Education, Higher Education, Universities","Waterloo, Ontario, Canada",University of Waterloo is a public research university that offers undergraduate and graduate programs.,"Education, Other","1,897"
University of Strathclyde,https://www.crunchbase.com/organization/university-of-strathclyde,"Education, Higher Education, Universities","Glasgow, Glasgow City, United Kingdom",The University of Strathclyde is a public research university that offers undergraduate and postgraduate programs for various disciplines.,"Education, Other","1,904"
University of California Berkeley,https://www.crunchbase.com/organization/university-of-california-berkeley,"Continuing Education, Education, Higher Education, Universities","Berkeley, California, United States",University of California Berkeley is a public institution for higher education.,"Education, Other",
Platzi,https://www.crunchbase.com/organization/platzi,"EdTech, Education, Edutainment, Recruiting, Training","San Francisco, California, United States","Platzi is an effective online education platform that offers classes on marketing, programming, business, and design.","Education, Media and Entertainment, Professional Services, Software","2,225"
University of Phoenix,https://www.crunchbase.com/organization/university-of-phoenix,"EdTech, Education, Higher Education, STEM Education, Universities","Phoenix, Arizona, United States",University of Phoenix is a higher learning education institute that provides both online and classroom tutoring platforms.,"Education, Other, Science and Engineering, Software",
Allen Institute for Artificial Intelligence,https://www.crunchbase.com/organization/allen-institute-for-artificial-intelligence,"Artificial Intelligence (AI), Finance, Financial Services, Incubators, Venture Capital","Seattle, Washington, United States",Allen Institute for Artificial Intelligence (AI2) is an artificial intelligence research institute and start-up incubator.,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Lending and Investments, Science and Engineering, Software","2,602"
Texas A&M University,https://www.crunchbase.com/organization/texas-a-m-university,"Agriculture, Education, Higher Education, Life Science, Natural Resources, Universities","College Station, Texas, United States","Texas A&M University is a public research university offering undergraduate, graduate, and professional degree programs.","Agriculture and Farming, Biotechnology, Education, Natural Resources, Other, Science and Engineering, Sustainability","2,691"
F&G Annuities & Life,https://www.crunchbase.com/organization/fidelity-guaranty-life,"Financial Services, Insurance","Des Moines, Iowa, United States","F&G Annuities & Life provides annuities and life insurance for over 700,000 people across the United States.",Financial Services,"3,331"
Rice University,https://www.crunchbase.com/organization/rice-university,"Education, Higher Education, Service Industry, Universities","Houston, Texas, United States",Rice University is a private research university that focuses on providing undergraduate education services.,"Education, Other",
Imperial College London,https://www.crunchbase.com/organization/imperial-college-london,"EdTech, Education, Universities","London, England, United Kingdom","Imperial College London is a university with a mission to benefit society through excellence in science, engineering, medicine and business.","Education, Other, Software","4,105"
Google,https://www.crunchbase.com/organization/google,"Apps, Artificial Intelligence (AI), Cloud Storage, Search Engine, SEO","Mountain View, California, United States","Google specializes in internet-related services and products, including search, advertising, and software.","Apps, Artificial Intelligence (AI), Data and Analytics, Internet Services, Sales and Marketing, Science and Engineering, Software","4,262"
University of Melbourne,https://www.crunchbase.com/organization/the-university-of-melbourne,Education,"Parkville, New South Wales, Australia","The University of Melbourne is an Australian public university located in Melbourne, Victoria.",Education,"4,597"
Florida Atlantic University,https://www.crunchbase.com/organization/florida-atlantic-university,"Education, Higher Education, Universities","Boca Raton, Florida, United States",Florida Atlantic University is a private institution providing education for diverse disciplines and facilitating personalized learning.,"Education, Other","4,697"
Vanderbilt University,https://www.crunchbase.com/organization/vanderbilt-university,"E-Learning, Education, Higher Education","Nashville, Tennessee, United States","Vanderbilt University is a private research university offering undergraduate, graduate, and professional programs.","Education, Software",
Virginia Tech,https://www.crunchbase.com/organization/virginia-tech,"Education, Higher Education, Universities","Blacksburg, Virginia, United States",Virginia Tech is a public research university that offers a range of academic programs and conducts research across various fields.,"Education, Other","4,811"
Massachusetts Institute of Technology,https://www.crunchbase.com/organization/massachusetts-institute-of-technology-mit,"Education, Higher Education, Universities","Cambridge, Massachusetts, United States","MIT is a research university that conducts research and offers educational courses in science, technology, and engineering.","Education, Other",
Scripps Research,https://www.crunchbase.com/organization/scripps-research,"Biopharma, Biotechnology, Medical","La Jolla, California, United States",Scripps Research is a leader in the discovery and application of biomedical breakthroughs that improve human health.,"Biotechnology, Health Care, Science and Engineering","5,016"
Alan Turing Institute,https://www.crunchbase.com/organization/alan-turing-institute,Education,"London, England, United Kingdom","The Alan Turing Institute is the national institute for data science, headquartered at the British Library. ",Education,"5,428"
University of Louisville,https://www.crunchbase.com/organization/university-of-louisville,"Education, Higher Education, Universities","Louisville, Kentucky, United States",University of Louisville is a public research university that provides undergraduate and graduate education in various fields.,"Education, Other","5,589"
Harvard University,https://www.crunchbase.com/organization/harvard-university,"Education, Higher Education, Universities","Cambridge, Massachusetts, United States",Harvard University is a private research university and a member of the Ivy League.,"Education, Other","5,822"
The Aspen Institute,https://www.crunchbase.com/organization/the-aspen-institute,"Association, Education, Non Profit, Security","Washington, District of Columbia, United States","The Aspen Institute is an educational and policy studies organization based in Washington, DC.","Education, Other, Privacy and Security, Social Impact","5,862"
Icahn School of Medicine at Mount Sinai,https://www.crunchbase.com/organization/icahn-school-of-medicine-at-mount-sinai,"Genetics, Health Care, Medical","New York, New York, United States",Icahn School of Medicine at Mount Sinai is a medical school located in New York.,"Biotechnology, Health Care",
Trinity College Dublin,https://www.crunchbase.com/organization/trinity-college-dublin,"Education, Public Relations, Universities","Dublin, Dublin, Ireland",Trinity College is a research university that offers degree and diploma courses across various academic disciplines.,"Education, Other, Sales and Marketing","6,165"
Per Scholas,https://www.crunchbase.com/organization/per-scholas,"Career Planning, Education, Information Technology, Training","Bronx, New York, United States","Per Scholas offers free, technology training, certification, job placement, and career development services to the unemployed.","Education, Information Technology, Professional Services","6,423"
Tulane University,https://www.crunchbase.com/organization/tulane-university,"E-Learning, Education, Universities","New Orleans, Louisiana, United States","Tulane University is an independent research university offering degree programs, from liberal arts to tropical medicine.","Education, Other, Software","6,585"
Cleveland Clinic,https://www.crunchbase.com/organization/cleveland-clinic,"Health Care, Hospital, Medical, Non Profit","Cleveland, Ohio, United States",Cleveland Clinic is a non-profit medical center that combines clinical and hospital care with research and education.,"Health Care, Other, Social Impact","6,751"
University College Cork,https://www.crunchbase.com/organization/university-college-cork,"Advice, Education, Universities","Cork, Cork, Ireland","University College Cork provides various courses, including undergraduate, postgraduate, continuing education, and online programs.","Education, Media and Entertainment, Other","6,774"
Louisiana State University,https://www.crunchbase.com/organization/louisiana-state-university,"Agriculture, EdTech, Education, Higher Education, Universities","Baton Rouge, Louisiana, United States","Louisiana State University is the flagship university for Louisiana, supporting land, sea and space grant research.","Agriculture and Farming, Education, Other, Software","6,805"
Chalmers University of Technology,https://www.crunchbase.com/organization/chalmers-university-of-technology,"Education, Higher Education, Secondary Education","Gothenburg, Vastra Gotaland, Sweden",Chalmers University of Technology is an education and knowledge management based university that offers undergraduate and graduate programs.,Education,"6,968"
University of Liverpool,https://www.crunchbase.com/organization/university-of-liverpool,"E-Learning, Education, Universities","Liverpool, Liverpool, United Kingdom",University of Liverpool offers diverse programs and research opportunities for students.,"Education, Other, Software","6,981"
QFX,https://www.crunchbase.com/organization/quantum-fabrix,"Computer, Hardware, Quantum Computing","Woodstock, Oxfordshire, United Kingdom","Quantum Fabrix develops scalable quantum technology solutions, focusing on trapped ions for computing, communication, and sensing.","Consumer Electronics, Hardware, Science and Engineering","7,088"
Lloyd's,https://www.crunchbase.com/organization/lloyd-s,"Financial Services, Insurance, Online Portals","London, England, United Kingdom","Lloyd's provides leadership and insight to anticipate risk, and the knowledge to develop relevant, new, and innovative forms of insurance.","Financial Services, Internet Services","7,149"
University of the Witwatersrand,https://www.crunchbase.com/organization/university-of-the-witwatersrand,"Alumni, Education, Higher Education, Universities","Johannesburg, NA - South Africa, South Africa",University of the Witwatersrand is a multi-campus South African public research university.,"Education, Other","7,301"
Queen's University Belfast,https://www.crunchbase.com/organization/queens-university-belfast,"Education, Higher Education, Universities","Belfast, Belfast, United Kingdom",Queen's University Belfast is a public research university that offers undergraduate and postgraduate programs.,"Education, Other","7,353"
University of Leeds,https://www.crunchbase.com/organization/university-of-leeds-england,"Education, Higher Education, Universities","Leeds, Leeds, United Kingdom",The University of Leeds is Yorkshire's oldest and largest university,"Education, Other",
Ulster University,https://www.crunchbase.com/organization/university-of-ulster,"Education, Higher Education, Universities","Coleraine, Coleraine, United Kingdom","Ulster University is an educational institution that provides undergraduate, postgraduate, and research programs.","Education, Other","7,812"
George Washington University,https://www.crunchbase.com/organization/george-washington-university,"EdTech, Education, Higher Education","Washington, District of Columbia, United States",George Washington University is a co-educational research university that provides higher education services.,"Education, Software",
University of Arkansas,https://www.crunchbase.com/organization/university-of-arkansas,"E-Learning, Education, Higher Education","Fayetteville, Arkansas, United States","The University of Arkansas is a public, co-educational research university, providing undergraduate, graduate, and professional programs.","Education, Software","8,105"
Institute of Cancer Research,https://www.crunchbase.com/organization/institute-of-cancer-research,"Health Care, Medical","London, England, United Kingdom",Institute of Cancer Research is a school in London.,Health Care,"8,162"
Temple University,https://www.crunchbase.com/organization/temple-university,"Education, Knowledge Management, Universities","Philadelphia, Pennsylvania, United States",Temple is home to a talented and diverse student community.,"Administrative Services, Education, Other","8,270"
